Employee ID,Employee Name,Contact No,Email ID
1001,John Doe,8234587890,johndoe@example.com
1002,Jane Smith,9876548210,janesmith@example.com
1003,Michael Johnson,9345878901,michaeljohnson@example.com
1004,Emily Brown,7440123456,emilybrown@example.com
1005,David Wilson,8901114567,davidwilson@example.com
1006,Sarah Jones,8967890123,sarahjones@example.com
1007,Christopher Davis,9012300678,christopherdavis@example.com
1008,Anna Martinez,8678701235,annamartinez@example.com
1009,Matthew Anderson,9789012348,matthewanderson@example.com
1010,Elizabeth Taylor,8141456789,elizabethtaylor@example.com
1011,James Lee,7456789012,jameslee@example.com
1012,Olivia Clark,8348678901,oliviaclark@example.com
1013,William Rodriguez,9012345678,williamrodriguez@example.com
1014,Ava Lewis,8901234567,avalewis@example.com
1015,Alexander Walker,7078901234,alexanderwalker@example.com
1016,Sophia Hall,9557890123,sophiahall@example.com
1017,Daniel Green,74456789012,danielgreen@example.com
1018,Emma Turner,8345678901,emmaturner@example.com
1019,Joseph White,9122456789,josephwhite@example.com
1020,Mia Harris,7890144456,miaharris@example.com
